analyst,n_observations,mean_fe,accuracy_score,consistency_score,current_broker,current_broker_code,n_brokers,accuracy_score_z,consistency_score_z,partial_reliability_score
Brian J. White,6,0.029042612514949526,-0.029042612514949526,-0.0040246291479110975,"Monness, Crespi, Hardt",1080,1,-0.6763704535314374,0.024091143738456885,-0.32613965489649027
Ben Bollin,5,0.027144287054131598,-0.027144287054131598,-0.00461648112445254,Cleveland Research Company,2295,1,-0.044049225231056775,-0.6329137675056226,-0.3384814963683397
