analyst,n_observations,n_firms_covered,firms_covered,avg_abs_fe,n_times_smart_weighted,avg_weight_when_smart_weighted
Brian Macarthur,5,1,FCX-US,0.04187002935581592,0,
Gabriel Moreen,10,2,"LNG-US, WMB-US",0.04198058434240872,0,
Krish Sankar,39,6,"AAPL-US, AMAT-US, GFS-US, KLAC-US, MU-US, TSM-US",0.04234771201214709,0,
Durgesh Chopra,1,1,NRG-US,0.0426042428675932,0,
Han Jing Wen,8,2,"AMD-US, QCOM-US",0.04287385694722946,0,
Christopher Rolland,29,4,"AMD-US, NVDA-US, QCOM-US, TXN-US",0.0431644575950275,0,
Lloyd Byrne,7,1,LNG-US,0.043526673053626876,0,
Hartaj Singh,5,1,VRTX-US,0.04357112514129554,0,
Alexandra Yates,5,1,FCX-US,0.04368459046032304,0,
Brandon Bingham,12,2,"LNG-US, WMB-US",0.04371184777264192,0,
Joseph Stringer,12,1,VRTX-US,0.04415077330870403,0,
Yik Ban Chong,1,1,MU-US,0.0442375926341792,0,
Bill Katz,11,2,"APO-US, CME-US",0.04438308676439041,0,
Olivia Brayer Saunders,7,1,VRTX-US,0.04450318669666508,0,
Elvira Scotto,9,2,"LNG-US, WMB-US",0.04478625067854716,0,
Michael Baker,12,1,BJ-US,0.044857398758728344,0,
Andrew S. Fein,8,1,VRTX-US,0.0449144012553471,0,
Myles R. Minter,11,1,VRTX-US,0.0451391687106465,0,
Rita Tung,2,1,AMAT-US,0.0457307335999033,0,
Michael Blum,12,1,LNG-US,0.04595556746301289,0,
Xiang Li,1,1,NRG-US,0.0460274852298998,0,
Tingshuai Feng,6,1,FCX-US,0.04623585698785099,0,
Julien Dumoulin-Smith,14,3,"MTZ-US, NRG-US, WMB-US",0.04627362684697113,0,
Katja Jancic,9,1,FCX-US,0.04704190234717219,0,
Jorge Chang,5,1,TSM-US,0.04704963815224841,0,
Srini Pajjuri,26,8,"AAPL-US, AMAT-US, AMD-US, KLAC-US, MU-US, NVDA-US, QCOM-US, SNDK-US",0.04759333423635366,0,
Mikhail Paramonov,12,3,"GS-US, V-US, WFC-US",0.04760609506283592,0,
C.J. Muse,42,9,"AMAT-US, AMD-US, GFS-US, KLAC-US, MU-US, NVDA-US, QCOM-US, SNDK-US, TXN-US",0.04791317595413229,0,
Whitney Ijem,3,1,VRTX-US,0.04799996478754803,0,
Brian Chin,12,3,"AMAT-US, KLAC-US, MU-US",0.048425985571640746,0,
sean Hao,19,5,"AAPL-US, AMD-US, MU-US, NVDA-US, QCOM-US",0.048586744364453004,0,
Kyle Voigt,14,2,"APO-US, CME-US",0.04863980453347071,0,
Jeff Pu,7,3,"AAPL-US, MU-US, TSM-US",0.04885583997593877,0,
Daniel T. Fannon,22,3,"APO-US, CME-US, GS-US",0.049192908221562144,0,
Parth Talsania,13,8,"AAPL-US, AMZN-US, GS-US, META-US, TFC-US, TSM-US, TXN-US, WFC-US",0.04921423459748128,0,
John N. Vinh,28,5,"AMD-US, MU-US, NVDA-US, QCOM-US, TXN-US",0.049472057475787735,0,
Alec Huang,1,1,GS-US,0.0500444823663253,0,
Alex Bai,3,1,TSM-US,0.05052297394313913,0,
Patrick Tyler Brown,15,2,"MLM-US, UPS-US",0.05089667364140927,0,
Haofei Chen,2,2,"AMD-US, NVDA-US",0.050930988112184855,0,
Gary Mobley,14,2,"AMD-US, QCOM-US",0.05107535771459397,0,
Robert Mosca,7,1,LNG-US,0.051167985573094814,0,
Laura Champine,8,1,BJ-US,0.05141770290207167,0,
Vitaly Kononov,2,1,FCX-US,0.051489083981494405,0,
Alexander Dwyer,1,1,EME-US,0.0517128941297103,0,
Warren Lau,30,5,"AAPL-US, AMD-US, MU-US, NVDA-US, TSM-US",0.05237745363007756,0,
Kashy Harrison,1,1,MTZ-US,0.0526760923260369,0,
Kevin Cassidy,25,5,"AMD-US, MU-US, NVDA-US, QCOM-US, TXN-US",0.05289419999405195,0,
Chih Sheng Tsai,1,1,TSM-US,0.0531525416190113,0,
Pei Feng Li,8,3,"GS-US, V-US, WFC-US",0.05335643737286701,0,
Brian McKenna,5,1,APO-US,0.05338824517552924,0,
Neil Kalton,4,1,NRG-US,0.05341040531145243,0,
Chandler B. Converse,33,7,"AMAT-US, AMD-US, KLAC-US, MU-US, NVDA-US, QCOM-US, SNDK-US",0.05343572682104959,0,
Christopher LaFemina,9,1,FCX-US,0.05359934323486123,0,
Pavlos Kranas,1,1,META-US,0.0545114281331492,0,
Reed Seay,2,1,UPS-US,0.0548878886232661,0,
James West,3,1,NRG-US,0.05492667592459797,0,
Marc Bianchi,12,1,MTZ-US,0.05502519017604501,0,
Liam Fitzpatrick,10,1,FCX-US,0.05552912835386218,0,
Steve Biggar,25,5,"APO-US, GS-US, STT-US, V-US, WFC-US",0.05570920924789984,0,
Hans Lund,2,1,FCX-US,0.056632095299102146,0,
Kevin Rottinghaus,15,4,"AMD-US, MU-US, NVDA-US, SNDK-US",0.05670073970620115,0,
N. Quinn Bolton,19,4,"AMAT-US, GFS-US, MU-US, NVDA-US",0.05677503155167873,0,
Andrew F. Brackmann,5,1,LH-US,0.05685601475694796,0,
Kazuya Nishimura,28,3,"GS-US, V-US, WFC-US",0.05747573176237817,0,
Vijay Rakesh,66,8,"AMAT-US, AMD-US, MU-US, NVDA-US, QCOM-US, SNDK-US, TSLA-US, TXN-US",0.0575826365284573,0,
Devin Ryan,6,1,GS-US,0.0577949271350738,0,
David Toung,5,1,LH-US,0.057890747775316886,0,
Harrison Bauer,1,1,UPS-US,0.0579684169734547,0,
Nicholas Amicucci,1,1,NRG-US,0.0582941176470588,0,
Benjamin J. Nolan,4,1,LNG-US,0.058361000491478826,0,
Greg Wasikowski,3,1,LNG-US,0.05843799397848463,0,
Chris Kotowski,18,3,"APO-US, GS-US, WFC-US",0.05865857410254368,0,
Tycho Peterson,6,1,LH-US,0.05871806377541055,0,
Andrew Weisel,3,1,NRG-US,0.058867502903867,0,
Bascome Majors,4,1,UPS-US,0.05913491254512793,0,
John Barnidge,4,1,APO-US,0.05923797050434851,0,
Christian Wetherbee,8,1,UPS-US,0.05958492223684115,0,
David Westenberg,7,1,LH-US,0.059891503599915366,0,
Brian Bedell,26,3,"APO-US, CME-US, STT-US",0.06046966763177978,0,
Scott Schneeberger,5,1,UPS-US,0.06097580214396812,0,
J.R. Weston,4,1,NRG-US,0.061036800370905114,0,
David S. MacDonald,7,1,LH-US,0.061210818158872575,0,
Conor Cunningham,9,1,UPS-US,0.06123982154842384,0,
Jonathan Chappell,6,1,UPS-US,0.0612938883172936,0,
Ann Hynes,9,1,LH-US,0.061724657089329144,0,
Wilma Burdis,4,1,APO-US,0.06174207696595683,0,
Harsh Kumar,16,3,"AMD-US, MU-US, NVDA-US",0.06184308323872652,0,
Pito Chickering,8,1,LH-US,0.06202500012910751,0,
Tristan J. Richardson,8,2,"LNG-US, WMB-US",0.062090286155252715,0,
Jeff Kauffman,6,1,UPS-US,0.06236841687951872,0,
Pianpian He,13,3,"AMD-US, MU-US, NVDA-US",0.06259512518308855,0,
Lucas Servera,5,1,UPS-US,0.06274123620855322,0,
Christopher McGratty,12,3,"GS-US, TFC-US, WFC-US",0.06307102769014622,0,
Edward Snyder,5,1,QCOM-US,0.06328906530203474,0,
Michael Cherny,9,1,LH-US,0.06329806001338484,0,
Daniel Imbro,3,1,UPS-US,0.0633568446263902,0,
Will Chien,5,1,UPS-US,0.06337428543904962,0,
Shahriar Pourreza,6,1,NRG-US,0.06349189904660123,0,
Fadi Chamoun,12,1,UPS-US,0.0635831603333161,0,
Richa Harnain,5,1,UPS-US,0.06406902059637298,0,
Etienne Ricard,4,1,APO-US,0.06443933043491887,0,
Rick Paterson,7,1,UPS-US,0.06461559074130217,0,
Glenn Schorr,17,3,"APO-US, GS-US, STT-US",0.06499006478989,0,
Kristina Ruggeri,5,1,UPS-US,0.06501113757060094,0,
J. Bruce Chan,6,1,UPS-US,0.06507427986806728,0,
Jason H. Seidl,6,1,UPS-US,0.06561713373335208,0,
Elizabeth Anderson,10,1,LH-US,0.06562695469691757,0,
Harsh V. Kumar,6,1,QCOM-US,0.06588248199866835,0,
Stephanie Moore,9,1,UPS-US,0.06592098452541197,0,
Brennan Hawken,5,2,"APO-US, STT-US",0.06737488351728971,0,
Steven Alexopoulos,8,3,"STT-US, TFC-US, WFC-US",0.06759154420323196,0,
Jack Meehan,11,1,LH-US,0.06761309511953463,0,
Helane Becker,3,1,UPS-US,0.06764867718702568,0,
John McDonald,6,1,WFC-US,0.06766821470304514,0,
David Long,6,1,WFC-US,0.06846704319953931,0,
R. Scott Siefers,12,2,"TFC-US, WFC-US",0.06903943827755801,0,
Jim Mitchell,18,3,"GS-US, STT-US, WFC-US",0.06967103242815927,0,
Christopher Glynn,6,1,RRX-US,0.06968579250457249,0,
Yijie Wu,2,1,FCX-US,0.0699327281267733,0,
Aaron Rakers,51,6,"AAPL-US, AMD-US, MU-US, NVDA-US, QCOM-US, SNDK-US",0.07041275102552069,0,
Tim Thein,5,1,RRX-US,0.07051096012490207,0,
Gerard Cassidy,24,4,"GS-US, STT-US, TFC-US, WFC-US",0.07053820785400133,0,
Jack Zhou,4,3,"AAPL-US, SNDK-US, TSM-US",0.07062213501255014,0,
Jeffrey D. Hammond,5,1,RRX-US,0.07086893773103653,0,
Walter Liptak,5,1,RRX-US,0.07114995472919228,0,
Steven Fox,11,2,"MU-US, SNDK-US",0.07163140941717984,0,
Angustt Lin,6,1,QCOM-US,0.07184010067747616,0,
Amit Mehrotra,2,1,UPS-US,0.07213642027802235,0,
David Chiaverini,2,2,"TFC-US, WFC-US",0.07241221042726881,0,
Matthew O'Connor,22,3,"GS-US, TFC-US, WFC-US",0.07271778376208766,0,
Guo Han Wang,5,1,MU-US,0.07611267835730721,0,
Chris Dankert,5,1,RRX-US,0.07656051146622969,0,
John Pancari,14,2,"TFC-US, WFC-US",0.07660181976160112,0,
Saree Boroditsky,5,1,RRX-US,0.07756408564903464,0,
Matthew Bryson,38,6,"AMD-US, GFS-US, MU-US, NVDA-US, SNDK-US, TSM-US",0.07772808090578386,0,
Michael C. Brown,6,1,APO-US,0.07957529568677893,0,
Mehdi Hosseini,32,6,"AMAT-US, GFS-US, KLAC-US, MU-US, SNDK-US, TSM-US",0.0798169286502533,0,
Christopher Marinac,8,1,TFC-US,0.08007378494280049,0,
David Smith,6,1,STT-US,0.08067116845377548,0,
Terry J. McEvoy,6,1,TFC-US,0.08102589254191704,0,
Hans Mosesmann,11,4,"AMD-US, MU-US, NVDA-US, TXN-US",0.08113201156152228,0,
James Fotheringham,4,2,"GS-US, WFC-US",0.08174977956678363,0,
Michael Rose,7,1,TFC-US,0.0821374802851815,0,
Mike Mayo,27,3,"GS-US, STT-US, TFC-US",0.08231123070469878,0,
James M. Thalacker,10,1,NRG-US,0.08247045513757023,0,
Sung Kyu Kim,9,1,MU-US,0.08387498619378209,0,
David Konrad,18,4,"GS-US, STT-US, TFC-US, WFC-US",0.08404479262694757,0,
Mark Miller,3,1,SNDK-US,0.0852204661544248,0,
Grace Chi,1,1,MU-US,0.0880883125985631,0,
Scott R. Davis,1,1,SNDK-US,0.0984529130912373,0,
Angie Storozynski,12,1,NRG-US,0.09915184354314488,0,
Qi Li,1,1,QCOM-US,0.1108584553545793,0,
Yiyang Fan,1,1,MU-US,0.1174011426010978,0,
Emma Schwartz,1,1,LNG-US,0.1270899140713091,0,
Sidney Ho,2,1,MU-US,0.12939047334680415,0,
