analyst,n_observations,n_firms_covered,firms_covered,avg_abs_fe,n_times_smart_weighted,avg_weight_when_smart_weighted
Daryl Boehringer,5,1,AMZN-US,0.026119392770902715,0,
Jin Zhang,4,1,LLY-US,0.026173986943567575,0,
Michael S. Dudas,5,1,MLM-US,0.02635035380137442,0,
Tim Mulrooney,3,1,EME-US,0.02643292968960183,0,
Garik Shmois,6,1,MLM-US,0.026564778493603836,0,
Jonah Chen,5,1,LLY-US,0.02657314299197554,0,
Christopher Carril,1,1,CMG-US,0.0265929078014184,0,
Martin Yang,8,1,AAPL-US,0.02666607208483214,0,
Brent A. Bracelin,2,1,MSFT-US,0.026668849983151353,0,
Trey Grooms,7,1,MLM-US,0.026701129431402515,0,
Cheng Ning Li,6,1,AAPL-US,0.026702995188482802,0,
William Selesky,18,3,"LNG-US, TSLA-US, WMB-US",0.026705332762861467,0,
Ben Bollin,6,1,AAPL-US,0.02676142119102205,0,
Glenn Thum,12,2,"TSLA-US, WFC-US",0.026781787405703198,0,
Jack Egan,4,1,TXN-US,0.026836426879276475,0,
Matt Curtis,1,1,CMG-US,0.0268765957446808,0,
Louise Chen,10,2,"LLY-US, VRTX-US",0.026889893640920464,0,
Gil Luria,31,7,"AAPL-US, AMD-US, AMZN-US, META-US, MSFT-US, NVDA-US, TSM-US",0.026926911933614177,0,
Nikolay Todorov,6,1,TXN-US,0.027075391462100182,0,
Pei Wen Chen,2,1,TSM-US,0.02711796834577435,0,
Craig Moffett,8,2,"AAPL-US, AMZN-US",0.027154861622800713,0,
Matthew F. Farrell,3,1,AAPL-US,0.0273208643346225,0,
John Staszak,5,1,CMG-US,0.027351409085633882,0,
Jia Qing Dong,3,2,"AMZN-US, META-US",0.027485300879499002,0,
Brian Schwartz,3,1,MSFT-US,0.027576352244501137,0,
Hannah Rudoff,1,1,MSFT-US,0.0276303992181358,0,
Ilya Zubkov,4,1,LLY-US,0.027642095806143675,0,
Philip Ng,7,1,MLM-US,0.027642735818877013,0,
Tony Shen,19,5,"AAPL-US, AMD-US, NVDA-US, TSLA-US, TSM-US",0.027735363357190245,0,
Brian J. Pitz,20,2,"AMZN-US, META-US",0.027791671042245985,0,
Lee Horowitz,7,1,AMZN-US,0.027889093711471358,0,
Bo Tao Yu,3,3,"AMZN-US, META-US, MSFT-US",0.02791412526978837,0,
Yu Cui Dan,1,1,LLY-US,0.0279942522436951,0,
Trung Huynh,1,1,LLY-US,0.0280253100144913,0,
Egor Tolmachev,6,4,"AMZN-US, NVDA-US, TSM-US, TXN-US",0.028037178900033335,0,
Stephano Gabriel,3,1,TSM-US,0.028170568481125164,0,
Shi Feng Cui,2,1,MSFT-US,0.02834852802400815,0,
