analyst,n_observations,mean_fe,accuracy_score,consistency_score,avg_staleness_days,current_broker,current_broker_code,n_brokers,freshness_score,accuracy_score_z,consistency_score_z,freshness_score_z,partial_reliability_score_raw,credibility_weight,partial_reliability_score,factor_alpha,factor_alpha_tstat,factor_alpha_annualized,loading_Mkt-RF,loading_SMB,loading_HML,loading_MOM,loading_RMW,loading_CMA,n_factor_obs,r_squared,factor_alpha_z,partial_reliability_score_with_factor_raw,partial_reliability_score_with_factor
Jeffrey D. Hammond,5,0.07086893773103657,-0.07086893773103657,-0.020340960271708168,76.6,KeyBanc Capital Markets,618,1,-76.6,0.5435804333723208,-0.46928743489071434,0.8795671110133626,0.31795336983165634,0.3333333333333333,0.10598445661055211,,,,,,,,,,5,,,0.31795336983165634,0.10598445661055211
Chris Dankert,5,0.07656051146622975,-0.07656051146622975,-0.01484622610192158,97.2,Loop Capital Markets,1009,1,-97.2,-1.124758710143533,1.716632311928268,0.13460711840542525,0.24216024006338677,0.3333333333333333,0.08072008002112892,,,,,,,,,,5,,,0.24216024006338677,0.08072008002112892
Tim Thein,5,0.07051096012490213,-0.07051096012490213,-0.020169419763051016,104.0,Raymond James,402,1,-104.0,0.6485124048450444,-0.40104504614789266,-0.11130200536806846,0.04538845110969442,0.3333333333333333,0.015129483703231472,,,,,,,,,,5,,,0.04538845110969442,0.015129483703231472
Saree Boroditsky,5,0.07756408564903465,-0.07756408564903465,-0.018939379195815793,73.4,Jefferies,512,1,-73.4,-1.4189307916264637,0.08829072192117926,0.9952890516126535,-0.11178367269754368,0.3333333333333333,-0.03726122423251456,,,,,,,,,,5,,,-0.11178367269754368,-0.03726122423251456
Christopher Glynn,6,0.06968579250457252,-0.06968579250457252,-0.018366604453671588,150.33333333333334,Oppenheimer,498,1,-150.33333333333334,0.8903891695165276,0.316152449284925,-1.786859270295306,-0.19343921716461776,0.375,-0.07253970643673166,0.05724558138999617,4.214308708772652,0.22898232555998468,0.0021930389580051305,-0.00533471192985604,0.0010198026180535031,0.0009551676393705736,,,6,0.9267138049150843,0.0,-0.14507941287346332,-0.054404779827548745
Walter Liptak,5,0.07114995472919233,-0.07114995472919233,-0.022305300734591187,104.0,Seaport Research Partners,1321,1,-104.0,0.46120749403612027,-1.250743002095761,-0.11130200536806846,-0.30027917114256975,0.3333333333333333,-0.10009305704752325,,,,,,,,,,5,,,-0.30027917114256975,-0.10009305704752325
