analyst,n_observations,mean_fe,accuracy_score,consistency_score,avg_staleness_days,current_broker,current_broker_code,n_brokers,freshness_score,accuracy_score_z,consistency_score_z,freshness_score_z,partial_reliability_score_raw,credibility_weight,partial_reliability_score,factor_alpha,factor_alpha_tstat,factor_alpha_annualized,loading_Mkt-RF,loading_SMB,loading_HML,loading_MOM,loading_RMW,loading_CMA,n_factor_obs,r_squared,factor_alpha_z,partial_reliability_score_with_factor_raw,partial_reliability_score_with_factor
Steven Alexopoulos,3,0.060115654922084476,-0.060115654922084476,-0.00204122523343884,55.333333333333336,TD Cowen,917,1,-55.333333333333336,1.188729396736748,1.7076439350872872,0.24716719591514538,1.047846842579727,0.23076923076923078,0.24181080982609085,,,,,,,,,,3,,,1.047846842579727,0.24181080982609085
Christopher McGratty,4,0.06221469048446458,-0.06221469048446458,-0.005782581633571392,28.75,Keefe Bruyette & Woods,525,1,-28.75,0.9164487893105994,0.4070957138711507,1.0107259066209862,0.7780901366009121,0.2857142857142857,0.22231146760026058,,,,,,,,,,4,,,0.7780901366009121,0.22231146760026058
John McDonald,6,0.06766821470304518,-0.06766821470304518,-0.008065588422108718,37.5,Truist Securities,852,1,-37.5,0.20903395868018568,-0.3865096260936253,0.7593978043510385,0.1939740456458663,0.375,0.07274026711719986,0.06978461591610352,6.294279067852013,0.2791384636644141,-0.001256348271906959,-0.0011917794020971306,-0.0009230955094343339,0.000876714499150735,,,6,0.7468348311367838,0.4406181289747107,0.2556350664780774,0.09586314992927902
Pei Feng Li,2,0.062160990433808724,-0.062160990433808724,-0.006799947066191293,45.0,China International Capital,898,1,-45.0,0.9234145990726849,0.053445149152504666,0.5439737166910835,0.5069444883054244,0.16666666666666666,0.08449074805090406,,,,,,,,,,2,,,0.5069444883054244,0.08449074805090406
James Fotheringham,2,0.0887623287923138,-0.0887623287923138,-0.000736103809567068,3.0,BMO Capital Markets,181,1,-3.0,-2.5272313530089296,2.1613225384481884,1.750348607586832,0.46147993100869694,0.16666666666666666,0.07691332183478282,,,,,,,,,,2,,,0.46147993100869694,0.07691332183478282
David Chiaverini,1,0.07351822916666667,-0.07351822916666667,,20.0,Jefferies,512,1,-20.0,-0.5498123992159516,,1.2620540088909338,0.3561208048374911,0.09090909090909091,0.0323746186215901,,,,,,,,,,1,,,0.3561208048374911,0.0323746186215901
Jim Mitchell,6,0.06816086780255413,-0.06816086780255413,-0.006427656127469762,62.666666666666664,Seaport Research Partners,1321,1,-62.666666666666664,0.14512847390003716,0.18285872710300916,0.03653031020318944,0.12150583706874525,0.375,0.04556468890077947,0.06690739393017615,10.056198293864547,0.2676295757207046,-0.000561918034799511,-0.0012366165649833618,-0.0003260841686503681,0.0012414858808227802,,,6,0.8564431323839581,-0.10764239837699595,0.06421877820730995,0.02408204182774123
Steve Biggar,5,0.06408349408223812,-0.06408349408223812,-0.006640125157211831,86.0,Argus Research,376,1,-86.0,0.6740331828856292,0.10900149749377509,-0.6336779625166709,0.049785572620911135,0.3333333333333333,0.016595190873637044,,,,,,,,,,5,,,0.049785572620911135,0.016595190873637044
Mikhail Paramonov,4,0.06266315074448797,-0.06266315074448797,-0.005148650988133205,110.0,Freedom Broker,3713,1,-110.0,0.8582758673296115,0.627458941835699,-1.323035043028527,0.054233255378927835,0.2857142857142857,0.015495215822550808,,,,,,,,,,4,,,0.054233255378927835,0.015495215822550808
Chris Kotowski,6,0.06486097139504238,-0.06486097139504238,-0.006228741738205226,53.166666666666664,Oppenheimer,498,1,-53.166666666666664,0.5731811540851485,0.2520041726219445,0.30940082123913254,0.37819538264874186,0.375,0.1418232684932782,0.06209326903213296,15.677915068818278,0.24837307612853185,-0.00033277270845930625,-0.0010549382738131684,0.00013863308549964798,0.0012655523885158767,,,6,0.9458297977324365,-1.0249837325693347,0.027400603844222715,0.010275226441583518
