analyst,broker,broker_code,firm,quarter,year,fe,market_cap,sic_code,revision_date,staleness_days
David Risinger,Leerink Partners,1079,VRTX-US,2025Q3,2025,0.03714197089000238,107453.33,2834,20250211,262
Jasper Hellweg,Argus Research,376,VRTX-US,2025Q3,2025,0.03816797900262466,107453.33,2834,20250225,248
Narumi Nakagiri,Daiwa Securities Co. Ltd.,467,VRTX-US,2025Q3,2025,0.03439799570508232,107453.33,2834,20250811,81
Naz Rahman,Maxim Group,1063,VRTX-US,2025Q3,2025,0.03451729897399189,107453.33,2834,20250506,178
Phil Nadeau,TD Cowen,917,VRTX-US,2025Q3,2025,0.03781006919589597,107453.33,2834,20250211,262
Joon Lee,Truist Securities,852,VRTX-US,2025Q3,2025,0.03365831543784299,107453.33,2834,20250805,87
Paul Matteis,Stifel Nicolaus,548,VRTX-US,2025Q3,2025,0.04017227392030541,107453.33,2834,20250805,87
Jay Olson,Oppenheimer,498,VRTX-US,2025Q3,2025,0.03599665950847052,107453.33,2834,20250805,87
Evan David Seigerman,BMO Capital Markets,181,VRTX-US,2025Q2,2025,0.038818949159196495,117738.94,2834,20250710,22
Greg Harrison,Scotiabank GBM,810,VRTX-US,2025Q2,2025,0.035814085367183585,117738.94,2834,20250725,7
Michael Yee,Jefferies,512,VRTX-US,2025Q2,2025,0.038976640711902114,117738.94,2834,20250506,87
Mohit Bansal,Wells Fargo Securities,596,VRTX-US,2025Q2,2025,0.03854042618159611,117738.94,2834,20250506,87
Myles R. Minter,William Blair,198,VRTX-US,2025Q2,2025,0.03592313899976009,117738.94,2834,20250506,87
Carter Gould,Cantor Fitzgerald,1190,VRTX-US,2025Q2,2025,0.035857706820214184,117738.94,2834,20250417,106
Steve Chesney,Rothschild & Co Redburn,1652,VRTX-US,2025Q2,2025,,117738.94,2834,20241121,253
Brian Abrahams,RBC Capital Markets,1269,VRTX-US,2025Q2,2025,0.03463630613535737,117738.94,2834,20250703,29
William Pickering,Bernstein Research,1140,VRTX-US,2025Q2,2025,,117738.94,2834,20250211,171
Phil Nadeau,TD Cowen,917,VRTX-US,2025Q2,2025,0.034913520469366834,117738.94,2834,20250211,171
David Risinger,Leerink Partners,1079,VRTX-US,2025Q2,2025,0.03420009160505137,117738.94,2834,20250211,171
Andrew S. Fein,HC Wainwright,536,VRTX-US,2025Q2,2025,0.04551985866649218,117738.94,2834,20250506,87
