analyst,n_observations,mean_fe,accuracy_score,consistency_score,avg_staleness_days,current_broker,current_broker_code,n_brokers,freshness_score,accuracy_score_z,consistency_score_z,freshness_score_z,partial_reliability_score_raw,credibility_weight,partial_reliability_score,factor_alpha,factor_alpha_tstat,factor_alpha_annualized,loading_Mkt-RF,loading_SMB,loading_HML,loading_MOM,loading_RMW,loading_CMA,n_factor_obs,r_squared,factor_alpha_z,partial_reliability_score_with_factor_raw,partial_reliability_score_with_factor
Warren Lau,4,0.0500375386110402,-0.0500375386110402,-0.011229103862019613,57.75,Aletheia Capital,2859,1,-57.75,-1.533113549946179,0.32512513560698614,0.3474088359103623,-0.28685985947627685,0.2857142857142857,-0.0819599598503648,,,,,,,,,,4,,,-0.28685985947627685,-0.0819599598503648
C.J. Muse,6,0.03590397649823707,-0.03590397649823707,-0.015641591695633422,75.83333333333333,Cantor Fitzgerald,1190,1,-75.83333333333333,0.07427826154278258,-0.44694228988852075,-0.29973042153782464,-0.22413148329452093,0.375,-0.08404930623544535,0.03813492604077601,2.1433685415964487,0.15253970416310403,-0.001478900757227853,-0.0034236572599518926,-0.0016702987074968016,0.001098631086616468,,,6,0.8266439937602517,-0.2524279215867844,-0.2312055928675868,-0.08670209732534505
sean Hao,4,0.03422499133681204,-0.03422499133681204,-0.015551668109965625,90.75,Fubon Securities,1084,1,-90.75,0.26522708099441383,-0.4312080660456868,-0.8335457537185875,-0.33317557958995353,0.2857142857142857,-0.09519302273998671,,,,,,,,,,4,,,-0.33317557958995353,-0.09519302273998671
Ling Ji Cao,9,0.03918825845610808,-0.03918825845610808,-0.014197110412410945,97.55555555555556,First Shanghai,1701,1,-97.55555555555556,-0.2992388945406516,-0.19419667617412556,-1.0770927860915611,-0.5235094522687794,0.47368421052631576,-0.24797816160100078,0.04322706530449304,4.640961410822947,0.17290826121797215,-0.0013603560228746096,-0.0015101422504042433,-0.001088682986936371,-0.0005053661376203754,,,9,0.45177600788786487,0.7098852940790212,-0.21516076568182924,-0.10191825742823489
Pierre Ferragu,10,0.04122980320485255,-0.04122980320485255,-0.015047976447115953,69.3,New Street Research,1634,1,-69.3,-0.5314211487897407,-0.34307548867801113,-0.06592527045977001,-0.313473969309174,0.5,-0.156736984654587,0.039948631188682956,4.355633756902225,0.15979452475473183,-4.048099010387719e-05,-0.002079261051894158,-4.993976396275893e-05,-0.000497571859716885,,,10,0.40163076347188875,0.09032633998420299,-0.21252389198582972,-0.10626194599291486
William Stein,6,0.033873669596836485,-0.033873669596836485,-0.014690023350874073,73.16666666666667,Truist Securities,852,1,-73.16666666666667,0.30518244989063903,-0.28044326488845045,-0.2042997476284149,-0.059853520875408774,0.375,-0.02244507032827829,0.03433381057464846,2.207082321896628,0.13733524229859384,-0.0009164514474668565,-0.0036034918190967023,-0.001465111110869193,0.0011895245030368786,,,6,0.8497513261157695,-0.9707632729762422,-0.28758095890061713,-0.10784285958773143
Louis Miscioscia,5,0.033480843498956796,-0.033480843498956796,-0.017369837282764044,83.6,Daiwa Securities Co. Ltd.,467,1,-83.6,0.3498580559431986,-0.74933907179355,-0.5776722592989815,-0.32571775838311096,0.3333333333333333,-0.10857258612770365,,,,,,,,,,5,,,-0.32571775838311096,-0.10857258612770365
Dawei Wang,8,0.03753721547624981,-0.03753721547624981,-0.014820249991590432,66.875,Bocom International,1746,1,-66.875,-0.11146790340201573,-0.3032294460678924,0.020856998626599687,-0.1312801169477695,0.4444444444444444,-0.05834671864345311,0.03629498843659663,2.0628821958781742,0.1451799537463865,-0.0003720530117561901,-0.002330575589263009,-0.0004369323504805335,0.0004023896114668538,,,8,0.4410614469946257,-0.6001395965439699,-0.2484949868468196,-0.11044221637636426
Sophie Huang,4,0.04520319867273278,-0.04520319867273278,-0.011864154317963648,81.0,ABCI Securities,2281,1,-81.0,-0.983310296614155,0.21400828065604469,-0.48462735223730685,-0.41797645606513906,0.2857142857142857,-0.11942184459003972,,,,,,,,,,4,,,-0.41797645606513906,-0.11942184459003972
Gary Mobley,6,0.0384867122049313,-0.0384867122049313,-0.020693308355267247,85.5,Loop Capital Markets,1009,1,-85.5,-0.219452943163198,-1.3308576734108244,-0.6456666144594364,-0.7319924103444863,0.375,-0.27449715387918233,0.043035968294810725,2.0067528678183355,0.1721438731792429,-0.00211010748715952,-0.004491561113955012,-0.002505074551450772,0.0011317439063442893,,,6,0.8560988762891367,0.6737717535083987,-0.380551369381265,-0.14270676351797437
Haofei Chen,1,0.05893809413401344,-0.05893809413401344,,89.0,Haitong International Research,2898,1,-89.0,-2.5453622634088733,,-0.7709193739655371,-1.658140818687205,0.09090909090909091,-0.15074007442610957,,,,,,,,,,1,,,-1.658140818687205,-0.15074007442610957
Ross Seymore,9,0.03554844308001008,-0.03554844308001008,-0.01124232355894998,104.55555555555556,Deutsche Bank Research,77,1,-104.55555555555556,0.11471261918083697,0.3228120420054338,-1.3275983051037628,-0.296691214639164,0.47368421052631576,-0.1405379437764461,0.0369190548867326,4.8055188287227395,0.1476762195469304,-0.000841166429756806,-0.0012959270541475921,-0.0006420436077499797,-0.00012298152874872024,,,9,0.4052002322919388,-0.48220342839975516,-0.3430692680793118,-0.1625064954059898
Harsh Kumar,5,0.037575743486932614,-0.037575743486932614,-0.01678051453201792,90.4,Piper Sandler Companies,570,1,-90.4,-0.11584964442315573,-0.6462233429549618,-0.8210204777679776,-0.5276978217153651,0.3333333333333333,-0.17589927390512167,,,,,,,,,,5,,,-0.5276978217153651,-0.17589927390512167
James Kelleher,5,0.03402455188693369,-0.03402455188693369,-0.016604130304990403,107.2,Argus Research,376,1,-107.2,0.2880228014124074,-0.6153608179590303,-1.422233723397261,-0.5831905799812946,0.3333333333333333,-0.19439685999376488,,,,,,,,,,5,,,-0.5831905799812946,-0.19439685999376488
Han Jing Wen,5,0.031191124790999104,-0.031191124790999104,-0.015166745677548108,125.0,China International Capital,898,1,-125.0,0.6102648148628241,-0.3638569293132223,-2.0592334717425733,-0.6042751953976572,0.3333333333333333,-0.20142506513255237,,,,,,,,,,5,,,-0.6042751953976572,-0.20142506513255237
Gus Richard,6,0.03982256953138441,-0.03982256953138441,-0.02023146822415388,98.66666666666667,Northland Securities,1093,1,-98.66666666666667,-0.37137827597884726,-1.2500479954094745,-1.116855566887149,-0.9127606127584903,0.375,-0.3422852297844339,0.03924434923712478,1.9866712117001915,0.15697739694849913,-0.0009702640526681897,-0.0051915395573821745,-0.0018623590104235575,0.0017129540768688791,,,6,0.8722690521841854,-0.042768965238187164,-0.6952627008784146,-0.2607235128294055
Hans Mosesmann,3,0.06520305905681069,-0.06520305905681069,-0.010257086832755951,97.33333333333333,Rosenblatt Securities,2623,1,-97.33333333333333,-3.2578686532203673,0.49520213380388767,-1.0691402299324435,-1.2772689164496411,0.23076923076923078,-0.2947543653345326,,,,,,,,,,3,,,-1.2772689164496411,-0.2947543653345326
Kevin Cassidy,5,0.048673638772065576,-0.048673638772065576,-0.028098597973565946,76.2,Rosenblatt Securities,2623,1,-76.2,-1.3779989783073021,-2.626585413914523,-0.3128521392003688,-1.4391455104740647,0.3333333333333333,-0.47971517015802156,,,,,,,,,,5,,,-1.4391455104740647,-0.47971517015802156
