analyst,n_observations,mean_fe,accuracy_score,consistency_score,avg_staleness_days,current_broker,current_broker_code,n_brokers,freshness_score,accuracy_score_z,consistency_score_z,freshness_score_z,partial_reliability_score_raw,credibility_weight,partial_reliability_score,factor_alpha,factor_alpha_tstat,factor_alpha_annualized,loading_Mkt-RF,loading_SMB,loading_HML,loading_MOM,loading_RMW,loading_CMA,n_factor_obs,r_squared,factor_alpha_z,partial_reliability_score_with_factor_raw,partial_reliability_score_with_factor
Ye Tao,4,0.031465508274551204,-0.031465508274551204,-0.0033170678288881716,68.5,China International Capital,898,1,-68.5,0.6343806777101126,0.668046149305544,0.14039437055578755,0.4809403991904813,0.2857142857142857,0.13741154262585178,,,,,,,,,,4,,,0.4809403991904813,0.13741154262585178
Pei Wen Chen,2,0.02711796834577435,-0.02711796834577435,-0.002324372632869151,41.5,Mega Intl Invst Serv,1175,1,-41.5,0.9334426248899979,0.7970366279594301,0.7396093840266065,0.8233628789586781,0.16666666666666666,0.13722714649311302,,,,,,,,,,2,,,0.8233628789586781,0.13722714649311302
Glenn Schorr,11,0.05615499178773346,-0.05615499178773346,-0.007280209088297737,28.181818181818183,Evercore ISI,1772,1,-28.181818181818183,-1.063978655448513,0.1530769119461944,1.0351817728261854,0.04142667644128891,0.5238095238095238,0.021699687659722765,0.05340929342909789,40.29955846578691,0.21363717371639157,0.00021005611048426109,-0.0015205828506718849,8.352834985210711e-05,0.00030917962423755285,,,6,0.99223125869685,0.920950433746464,0.26130761576758266,0.13687541778301948
Felix Pan,6,0.038653291508433316,-0.038653291508433316,-0.00705415571087096,21.0,KGI Securities,671,1,-21.0,0.13994187207584524,0.18245021149729743,1.1945689312914876,0.5056536716215434,0.375,0.18962012685807877,0.037985469649923026,5.357707641503466,0.1519418785996921,-0.00040304711111206905,-0.0018074505306509862,-0.000581805951741139,0.0008411932926963328,,,6,0.8646570729014146,-0.08460742993677199,0.35808839623196453,0.1342831485869867
Yen Chun Wang,2,0.029851620103236297,-0.029851620103236297,-0.0027298610528735997,34.5,SinoPac Securities Investment Services,1120,1,-34.5,0.74539806845316,0.7443475995499689,0.8949614245560781,0.7949023641864024,0.16666666666666666,0.1324837273644004,,,,,,,,,,2,,,0.7949023641864024,0.1324837273644004
Christopher McGratty,4,0.051777683648229426,-0.051777683648229426,-0.002585755553153789,13.0,Keefe Bruyette & Woods,525,1,-13.0,-0.7628689895104389,0.7630726195360228,1.3721141204680265,0.4574392501645368,0.2857142857142857,0.13069692861843907,,,,,,,,,,4,,,0.4574392501645368,0.13069692861843907
Mike Mayo,9,0.06941270141224484,-0.06941270141224484,-0.009766029448185765,22.444444444444443,Wells Fargo Securities,596,1,-22.444444444444443,-1.9759602635317224,-0.1699297464474546,1.1625121610235014,-0.32779261631855855,0.47368421052631576,-0.15527018667721193,0.07103683043303277,10.01779521676612,0.2841473217321311,-0.0007785731990630302,-0.0007156629804591578,-0.0011611723791898673,0.00031233685270351844,,,9,0.3284951391631519,2.070179620065799,0.27170044277753086,0.12870020973672514
Brian Schwartz,3,0.027576352244501137,-0.027576352244501137,-0.00033202474940958624,89.0,Oppenheimer,498,1,-89.0,0.9019109578886765,1.0559216393537856,-0.3145651767090935,0.5477558068444561,0.23076923076923078,0.1264051861948745,,,,,,,,,,3,,,0.5477558068444561,0.1264051861948745
Soo-Jin Kim,3,0.032077208368032496,-0.032077208368032496,-0.000517646069045757,74.33333333333333,Mirae Asset Securities,484,1,-74.33333333333333,0.5923025774410944,1.0318020677428268,0.010934336781228004,0.5450129939883831,0.23076923076923078,0.12577222938193458,,,,,,,,,,3,,,0.5450129939883831,0.12577222938193458
Tim Mulrooney,3,0.02643292968960183,-0.02643292968960183,-0.003251376569312706,76.33333333333333,William Blair,198,1,-76.33333333333333,0.9805655950673144,0.6765820493985404,-0.033451960512906734,0.5412318946509828,0.23076923076923078,0.12489966799638064,,,,,,,,,,3,,,0.5412318946509828,0.12489966799638064
Terry Tillman,3,0.031941919594102065,-0.031941919594102065,-0.0032985005225958978,60.666666666666664,Truist Securities,852,1,-60.666666666666664,0.6016089265088526,0.6704587788171587,0.314240701624482,0.5287694689834977,0.23076923076923078,0.12202372361157642,,,,,,,,,,3,,,0.5287694689834977,0.12202372361157642
Ari Terjanian,3,0.03161088335641763,-0.03161088335641763,-0.0027912614822959347,64.66666666666667,Cleveland Research Company,2295,1,-64.66666666666667,0.624380503872344,0.7363692484785596,0.22546810703621237,0.528739286462372,0.23076923076923078,0.12201675841439355,,,,,,,,,,3,,,0.528739286462372,0.12201675841439355
Matthew Bryson,13,0.03808982473976692,-0.03808982473976692,-0.008759747234248967,36.46153846153846,Wedbush Securities,590,1,-36.46153846153846,0.17870206100318162,-0.03917377527207607,0.8514287099022152,0.33031899854444025,0.5652173913043478,0.18670204265555318,0.036909577319446954,3.9950517960762997,0.14763830927778782,0.00014449193070176138,-0.001692983120663834,-0.0002359800786719091,0.0006488556289398585,,,8,0.5075449865395969,-0.15475034708079646,0.20905166213813106,0.11815963512155234
Craig Moffett,7,0.025145925994927997,-0.025145925994927997,-0.0038053270089404966,45.857142857142854,MoffettNathanson Research,3177,1,-45.857142857142854,1.069097003004297,0.6046019162774467,0.6429106649215274,0.7722031947344238,0.4117647058823529,0.3179660213612333,0.021179119055756337,2.984583841511479,0.08471647622302535,0.0006683386930063963,-0.0005202936769480864,0.0005624106826441404,0.0006137183387480208,,,7,0.17858673064625163,-1.1802992792303089,0.2840775762432406,0.11697311962956965
Stefan Chang,3,0.04361199651670337,-0.04361199651670337,-0.006942591039816411,7.666666666666667,Aletheia Capital,2859,1,-7.666666666666667,-0.20116137241605966,0.19694688719181125,1.4904775799190524,0.4954210315649346,0.23076923076923078,0.11432793036113877,,,,,,,,,,2,,,0.4954210315649346,0.11432793036113877
Patrick Moley,6,0.03254226141166745,-0.03254226141166745,-0.0021152913506041265,63.833333333333336,Piper Sandler Companies,570,1,-63.833333333333336,0.5603121481293776,0.8242045791947024,0.24396239757543522,0.5428263749665051,0.375,0.2035598906124394,0.03280430406287008,6.08830517194921,0.1312172162514803,-7.664836442073194e-05,-0.00018309238671659648,-0.00013890850990164617,5.102124556713488e-05,,,6,0.13068511694712992,-0.4223940821766994,0.30152126068070395,0.11307047275526398
Kevin Heal,5,0.032975781932137314,-0.032975781932137314,-0.0027023020852370338,86.6,Argus Research,376,1,-86.6,0.5304908024676646,0.7479286025012307,-0.2613016199561317,0.3390392616709212,0.3333333333333333,0.1130130872236404,,,,,,,,,,5,,,0.3390392616709212,0.1130130872236404
Amman Saeed,4,0.0258465113007474,-0.0258465113007474,-0.0035555439226224897,96.75,ARC Independent Research,940,1,-96.75,1.0209045978380695,0.6370586461911344,-0.48656207872386564,0.3904670551017795,0.2857142857142857,0.11156201574336556,,,,,,,,,,4,,,0.3904670551017795,0.11156201574336556
Yun Kim,5,0.030685963120407122,-0.030685963120407122,-0.003680535251997232,89.0,Loop Capital Markets,1009,1,-89.0,0.6880046341388608,0.6208173150471035,-0.3145651767090935,0.3314189241589569,0.3333333333333333,0.1104729747196523,,,,,,,,,,5,,,0.3314189241589569,0.1104729747196523
Sarena Hsu,3,0.030248022120427803,-0.030248022120427803,-0.0005811056958309094,90.0,Masterlink Securities,731,1,-90.0,0.7181300591721783,1.0235561452612427,-0.3367583253561609,0.46830929302575336,0.23076923076923078,0.10807137531363539,,,,,,,,,,3,,,0.46830929302575336,0.10807137531363539
Kadambari Daptardar,2,0.02792789584481,-0.02792789584481,-0.00036113893539689926,74.5,ARC Independent Research,940,1,-74.5,0.8777287041660351,1.0521385518550426,0.007235478673383336,0.6457009115648203,0.16666666666666666,0.10761681859413672,,,,,,,,,,2,,,0.6457009115648203,0.10761681859413672
Brad R. Reback,3,0.02960119473013023,-0.02960119473013023,-0.002072111790436018,87.0,Stifel Nicolaus,548,1,-87.0,0.7626245231680727,0.8298153166662694,-0.2701788794149588,0.44075365347312784,0.23076923076923078,0.10171238157072181,,,,,,,,,,3,,,0.44075365347312784,0.10171238157072181
Jason Ader,5,0.03150455661874648,-0.03150455661874648,-0.003944763502202256,89.0,William Blair,198,1,-89.0,0.6316945899362219,0.5864835854143757,-0.3145651767090935,0.30120433288050136,0.3333333333333333,0.10040144429350045,,,,,,,,,,5,,,0.30120433288050136,0.10040144429350045
